,Proclitic,Ortografía manipulada,verbo conjugado,mandato negativo,infinitivo (clitic climbing),Gerundio (clitic climbing),mandato afirmativo,,,,,,,,,la habrás olvidado
151,,,le dé,,creerlo,santiguándose,perdóneme,,,,,,,,,le hizo
152,,,le dé,,creerse,soltándola,permítame,,,,,,,,,le hizo
153,,,le dé,,cruzarse,sonriéndose,propóngala,,,,,,,,,le hizo
154,,,le dé,,cubrirse,sugiriéndose,quédate,,,,,,,,,le hizo
155,,,le debo,,darle,suicidándose,quédese,,,,,,,,,le hubo abierto
156,,,le debo,,darle,suplicándome,quédese,,,,,,,,,le hubo expuesto
157,,,le decía,,darle,teniéndola,quédese,,,,,,,,,le interpeló
158,,,le decía,,darle,tirándose,quiérame,,,,,,,,,le interrumpí
159,,,le decía,,darle,tragándose,regocíjate,,,,,,,,,Le interrumpió
160,,,le decía,,darle,tratándose,respirase,,,,,,,,,le interrumpió
161,,,le decía,,darle,vertiéndosele,sácamela,,,,,,,,,le interrumpió
162,,,le decía,,darle,viéndome,siéntese,,,,,,,,,le interrumpió
163,,,le decía,,darle,viéndome,tápame,,,,,,,,,le invadió
164,,,le decía,,darle,viéndome,tápame,,,,,,,,,le invadió
165,,,le decía,,darle,viniéndonos,tócalo,,,,,,,,,le llebó
166,,,le decía,,darles,vistiéndose,tócalo,,,,,,,,,le llevaron
167,,,le decía,,darlos,volviéndose,tómelos,,,,,,,,,le mandé
168,,,le decía,,darme,volviéndose,tráeme,,,,,,,,,le miró
169,,,le deja,,darme,volviéndose,tráeme,,,,,,,,,le miró
170,,,le dejaba,,darme,volviéndose,Únenme,,,,,,,,,le miró
171,,,le dejaba,,darme,yéndose,veámosla,,,,,,,,,le miró
172,,,le dejaba,,darme,,véase,,,,,,,,,le ocurrió
173,,,le dejaré,,darnos,,vete,,,,,,,,,le ofrecí
174,,,le dejo,,darnos,,vete,,,,,,,,,le ofreció
175,,,le dejó,,darse,,vete,,,,,,,,,le ordené
176,,,le dejó,,darse,,vete,,,,,,,,,le pagaron
177,,,le dejó,,darse,,vete,,,,,,,,,le pasó
178,,,le descubríamos,,darse,,vete,,,,,,,,,le pregunte
179,,,le despertó,,darse,,vete,,,,,,,,,le pregunté
180,,,le despierta,,darse,,vete,,,,,,,,,le pregunté
181,,,le despierta,,darse,,vete,,,,,,,,,le pregunté
182,,,le destinasen,,darse,,vete,,,,,,,,,le pregunté
183,,,le dicen,,darse,,vete,,,,,,,,,le pregunté
184,,,le diga,,darse,,vete,,,,,,,,,le preguntó
185,,,le digo,,darte,,vete,,,,,,,,,le preguntó
186,,,le digo,,darte,,vete,,,,,,,,,le preguntó
187,,,le digo,,debernos,,vete,,,,,,,,,le preguntó
188,,,le digo,,decirle,,vete,,,,,,,,,le preguntó
189,,,le digo,,decirle,,vete,,,,,,,,,le preguntó
190,,,le dije,,decirle,,vete ,,,,,,,,,le preguntó
191,,,le dije,,decirle,,,,,,,,,,,le preguntó
192,,,le dije,,decirle,,,,,,,,,,,le preguntó
193,,,le dije,,decirle,,,,,,,,,,,le preguntó
194,,,le dije,,decirle,,,,,,,,,,,le preguntó
195,,,le dije,,decirle,,,,,,,,,,,le preguntó 
196,,,le dijera,,decirle,,,,,,,,,,,le produjo
197,,,le dijera,,decirle,,,,,,,,,,,le puso
198,,,le dijera,,decirle,,,,,,,,,,,le puso
199,,,le dijera,,decirle,,,,,,,,,,,le quedó
200,,,le dijera,,decirle,,,,,,,,,,,le replicó
201,,,le dijera,,decirle,,,,,,,,,,,le repliqué
202,,,le dijera,,decirlo,,,,,,,,,,,le repliqué
203,,,le dijera,,decirlo,,,,,,,,,,,le respondió
204,,,le dijera,,decirlo,,,,,,,,,,,le rogué
205,,,le dijera,,decirme,,,,,,,,,,,le saludó
206,,,le dijera,,decirme,,,,,,,,,,,le saludó
207,,,le dijera,,decirme,,,,,,,,,,,le siguió
208,,,le dijera,,decirme,,,,,,,,,,,le subió
209,,,le dijera,,decírmelo,,,,,,,,,,,le suspiró
210,,,le dijese,,decirse,,,,,,,,,,,le tendió
211,,,le dijiste,,decirse,,,,,,,,,,,le tendió
212,,,le dijiste,,decirse,,,,,,,,,,,le tentó
213,,,le dijiste,,decírselo,,,,,,,,,,,le tocó
214,,,le dijo,,decirte,,,,,,,,,,,le tomó
215,,,le dijo,,decirte,,,,,,,,,,,le tomó
216,,,le dijo,,decirte,,,,,,,,,,,le trajo
217,,,le dijo,,decirte,,,,,,,,,,,le tuve
218,,,le dijo,,decírtelo,,,,,,,,,,,le tuve
219,,,le dijo,,dedicarme,,,,,,,,,,,le tuvo
220,,,le dijo,,dedicarme ,,,,,,,,,,,le vi
221,,,le dijo,,dedicarme ,,,,,,,,,,,Le volvió
222,,,le dijo,,dedicarse,,,,,,,,,,,le volvió
223,,,le dijo,,dedicarse,,,,,,,,,,,les faltó
224,,,le dijo,,dedicarse ,,,,,,,,,,,les fué
225,,,le dijo,,dedicarse ,,,,,,,,,,,lo aceptó
226,,,le dijo,,defenderme,,,,,,,,,,,lo adiviné
227,,,le dijo,,defenderme,,,,,,,,,,,lo adivino
228,,,le dijo,,defenderme,,,,,,,,,,,lo barruntó
229,,,le dijo,,defenderse,,,,,,,,,,,lo colocó
230,,,le dijo,,definirse,,,,,,,,,,,lo compré
231,,,le dijo,,dejarla,,,,,,,,,,,lo dejó
232,,,le dijo,,dejarle,,,,,,,,,,,lo deseasteis
233,,,le dijo,,dejarle,,,,,,,,,,,lo dijo
234,,,le dijo,,dejarle,,,,,,,,,,,lo dijo
235,,,le dijo,,dejarle,,,,,,,,,,,lo dijo
236,,,le dijo,,dejarme,,,,,,,,,,,lo enfundó
237,,,le dijo,,dejarme,,,,,,,,,,,lo fué
238,,,le dijo,,dejarme,,,,,,,,,,,lo levantó
239,,,le dijo,,dejarse,,,,,,,,,,,lo pensó
240,,,le dijo,,demostrarle,,,,,,,,,,,lo recojió
241,,,le dijo,,demostrarles,,,,,,,,,,,lo sentí
242,,,le dijo,,demostrarme,,,,,,,,,,,lo tomó
243,,,le dijo,,derretirse,,,,,,,,,,,los juntó
244,,,le dijo,,desahogarse,,,,,,,,,,,me abrió
245,,,le dijo,,desecharrla,,,,,,,,,,,me acordé
246,,,le dijo,,desnudarse,,,,,,,,,,,me admitió
247,,,le dijo,,despedirlo,,,,,,,,,,,me anunciaron
248,,,le dijo,,despedirme,,,,,,,,,,,me arañé
249,,,le dijo,,despedirme,,,,,,,,,,,me arrepentí
250,,,le dio,,despedirme,,,,,,,,,,,me arrodillé
251,,,le dio,,despedirse,,,,,,,,,,,me aseguraron
252,,,le dio,,despedirse,,,,,,,,,,,me casé
253,,,le diré,,despertarse,,,,,,,,,,,me casé
254,,,le diré,,despreciarle,,,,,,,,,,,me casé
255,,,le diré,,desquitarme,,,,,,,,,,,me casé
256,,,le dirigió,,desquitarse,,,,,,,,,,,me casé
257,,,le dirigió,,destacarse,,,,,,,,,,,me comunicó
258,,,le disgusten,,detenerlas,,,,,,,,,,,me contestó
259,,,le distraería,,detenerte,,,,,,,,,,,me contestó
260,,,le distraigan,,devorarle,,,,,,,,,,,me contestó
261,,,le dolería,,devorarse,,,,,,,,,,,me contestó
262,,,le doy,,devorarte,,,,,,,,,,,me contó
263,,,le duele,,devorarte,,,,,,,,,,,me creí
264,,,le echaba,,dirigirse,,,,,,,,,,,me dejaron 
265,,,le echarían,,discutirme,,,,,,,,,,,me despachó
266,,,le echó,,distraerse,,,,,,,,,,,me desperté
267,,,le echó,,distraerse,,,,,,,,,,,me despidió
268,,,le echó,,distraerse,,,,,,,,,,,me despreció
269,,,le empujé,,distraerse,,,,,,,,,,,me di
270,,,le encontré,,distraerse,,,,,,,,,,,me dije
271,,,le engañará,,distraerte,,,,,,,,,,,me dije
272,,,le engañará,,divertirte,,,,,,,,,,,me dijo
273,,,le enlazó,,dolerle,,,,,,,,,,,Me dijo
274,,,le enseñé,,dolerle,,,,,,,,,,,Me dijo
275,,,le entendemos,,dolerme,,,,,,,,,,,me dijo
276,,,le entendemos,,dolerme,,,,,,,,,,,me dijo
277,,,le entendía,,dormirse,,,,,,,,,,,me dijo
278,,,le entendía,,dormirse,,,,,,,,,,,me dijo
279,,,le enterrarán,,dormirse,,,,,,,,,,,me dijo
280,,,le entiende,,echarle,,,,,,,,,,,me dijo
281,,,le entiendo,,echarse,,,,,,,,,,,me dijo
282,,,le entraron,,echarse,,,,,,,,,,,me dijo
283,,,le entraron,,echarte,,,,,,,,,,,me dijo
284,,,le entre,,emberrenchinarse,,,,,,,,,,,me dijo
285,,,le envolviera,,embriagarme,,,,,,,,,,,me dijo
286,,,le era,,empequeñecerle,,,,,,,,,,,me dijo
287,,,le era,,emprendernos,,,,,,,,,,,me dijo
288,,,le es,,enamorarle,,,,,,,,,,,me dijo
289,,,le escriba,,enamorarme,,,,,,,,,,,me dijo
290,,,le espera,,enamorarse,,,,,,,,,,,me dio
291,,,le espera,,encenderse,,,,,,,,,,,me dio
292,,,le espera,,encontrarle,,,,,,,,,,,me dio
293,,,le esperaba,,encontrarme,,,,,,,,,,,me dio
294,,,le esperaba,,encontrarse,,,,,,,,,,,me enamoré
295,,,le esperaba,,encontrarse,,,,,,,,,,,me encargó
296,,,le esperaba,,engendrarlo,,,,,,,,,,,me enjugué
297,,,le esperaba,,enseñarla,,,,,,,,,,,me enlacé 
298,,,le esperábamos,,enseñarnos,,,,,,,,,,,me enseñó
299,,,le está engañando,,entenderla,,,,,,,,,,,me envolvió
300,,,le está engañando,,entenderle,,,,,,,,,,,me estuvo
301,,,le estaba,,entregársela,,,,,,,,,,,me figuré
302,,,le estimaba,,entusiasmarse,,,,,,,,,,,me hice
303,,,le estorbas,,envolverte,,,,,,,,,,,me hice
304,,,le excitó,,escaparse,,,,,,,,,,,me imaginé
305,,,le extrañé,,escribirla,,,,,,,,,,,me inspiró
306,,,le felicito,,escribirlas,,,,,,,,,,,me interrumpió
307,,,le fulguraban,,escribirle,,,,,,,,,,,me la despertó
308,,,le gusta,,esparcirse,,,,,,,,,,,me llamó
309,,,le gusta,,esperarse,,,,,,,,,,,me llevó
310,,,le gusta,,estallarle,,,,,,,,,,,me lo contó
311,,,le gustaba,,estarlo,,,,,,,,,,,me lo dijo
312,,,le gustaba,,estarlo,,,,,,,,,,,me lo pareció
313,,,le ha dicho,,estarlo,,,,,,,,,,,me lo preguntó
314,,,le ha dicho,,estarlo,,,,,,,,,,,me miró
315,,,le ha entendido,,estarlo,,,,,,,,,,,me miró
316,,,le ha hecho,,estimarla,,,,,,,,,,,me miró
317,,,le ha hecho,,estrangularlo,,,,,,,,,,,me miró
318,,,le ha hecho,,exaltarme,,,,,,,,,,,me miró
319,,,le ha hecho,,exaltarme,,,,,,,,,,,me pareció
320,,,le ha llevado,,explicarse,,,,,,,,,,,me parió
321,,,le ha puesto,,explicarse,,,,,,,,,,,me pasó
322,,,le ha puesto,,explicártelo,,,,,,,,,,,me pellizqué
323,,,le ha sacado,,fastidiarse,,,,,,,,,,,me pidió
324,,,le ha servido,,felicitarle,,,,,,,,,,,me preguntó
325,,,le ha traído,,figurarme,,,,,,,,,,,Me preguntó
326,,,le ha visto,,figurársela,,,,,,,,,,,me preguntó
327,,,le había,,fijarse,,,,,,,,,,,me pude
328,,,le había dicho,,fijarse,,,,,,,,,,,me puse
329,,,le había dicho,,fijarse,,,,,,,,,,,me puse
330,,,le había llegado,,ganarla,,,,,,,,,,,me puso
331,,,le había salido,,ganarla,,,,,,,,,,,me quedé
332,,,le había salido,,ganarlas,,,,,,,,,,,me quedé
333,,,le habían precedido,,ganarlas,,,,,,,,,,,me quejé
334,,,le habla ,,ganarlas,,,,,,,,,,,me rechazaste
335,,,le hablaba,,ganarme,,,,,,,,,,,me rechazaste
336,,,le habrá parecido,,ganarse,,,,,,,,,,,me reconquistase
337,,,le habrán hecho,,ganarte,,,,,,,,,,,me replicó
338,,,le habría cuidado,,gobernarte,,,,,,,,,,,me replicó
339,,,le habría cuidado,,guardarla,,,,,,,,,,,me rogó
340,,,le hace,,guardarlas,,,,,,,,,,,me saludó
341,,,le hace,,guardarlas,,,,,,,,,,,me sentí
342,,,le hace,,guardarlas,,,,,,,,,,,me suplicó
343,,,le hace,,guardarme,,,,,,,,,,,me tuve
344,,,le hacen,,guardarme,,,,,,,,,,,nos casaron
345,,,le hacen,,haberlas,,,,,,,,,,,nos casaron
346,,,le hacía,,haberle,,,,,,,,,,,nos casaron
347,,,le hacía,,haberle,,,,,,,,,,,nos dijimos
348,,,le hacían caso,,haberle,,,,,,,,,,,nos entró
349,,,le hagan,,haberle,,,,,,,,,,,nos hicimos
350,,,le hagas caso,,haberle,,,,,,,,,,,nos pusimos
351,,,le hago,,haberlo,,,,,,,,,,,nos pusimos
352,,,le han dado,,haberlo,,,,,,,,,,,nos tuvieron
353,,,le han dado,,haberlos,,,,,,,,,,,nos vimos
354,,,le han engañado,,haberme,,,,,,,,,,,nos vimos
355,,,le han engañado,,haberme,,,,,,,,,,,os lo dijo
356,,,le han engañado,,haberme,,,,,,,,,,,se abrió
357,,,le han hecho,,haberme,,,,,,,,,,,se abrió
358,,,le has dicho,,haberme,,,,,,,,,,,se abrió
359,,,le hay,,haberse,,,,,,,,,,,se acercó
360,,,le hayan oído,,haberse,,,,,,,,,,,se acordó
361,,,le he dicho,,haberse,,,,,,,,,,,se acordó
362,,,le he oído,,haberse,,,,,,,,,,,se acordó
363,,,le he oído,,haberse,,,,,,,,,,,se acostó
364,,,le he oído,,haberse,,,,,,,,,,,se acostó
365,,,le he oído,,habérsele,,,,,,,,,,,se agachó
366,,,le hiciese,,habérsete,,,,,,,,,,,se alarmó
367,,,le hizo,,haberte,,,,,,,,,,,se apoyó
368,,,le hizo,,hablarle,,,,,,,,,,,Se arrodilló
369,,,le hizo,,hablarme,,,,,,,,,,,se arrodilló
370,,,le hubiera arado,,hablarte,,,,,,,,,,,se aterró
372,,,le hizo,,hablarme,,,,,,,,,,,se atrevió
371,,,le hubiese tratado,,hacerla,,,,,,,,,,,se atusó
373,,,le hubo expuesto,,hacerla,,,,,,,,,,,se burlaron
374,,,le hubo abierto,,hacerle,,,,,,,,,,,se calló
